,z,xy,focus,file,brenner,range,entropy,sobel,variance,power,nz
77,9301.0,"(26736.0, 4145.0)",9369.0,D:\WorkDrive\Images\FL\009301z_026736x_004145y_093692F.tiff,28105128.0,62838.0,6.540147414964119,522248820.0,1048.866315358316,720986632.0,-68.0
78,9301.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009301z_027353x_004145y_093672F.tiff,16443688.0,166259.0,4.888552550797271,-1966825796.0,191.2712094787959,4243545335.0,-66.0
79,9302.0,"(22735.0, 5314.0)",9399.0,D:\WorkDrive\Images\FL\009302z_022735x_005314y_093987F.tiff,19076946.0,145604.0,5.50246452190243,-415652868.0,567.7844185594573,2926529669.0,-97.0
80,9302.0,"(25537.0, 5728.0)",9373.0,D:\WorkDrive\Images\FL\009302z_025537x_005728y_093729F.tiff,22560898.0,172822.0,5.207216574262933,422690952.0,659.8010891934922,2515466934.0,-71.0
81,9302.0,"(25537.0, 6035.0)",9371.0,D:\WorkDrive\Images\FL\009302z_025537x_006035y_093706F.tiff,19922082.0,165758.0,5.372951634146559,-356876504.0,1070.8224108706195,2749068190.0,-69.0
82,9303.0,"(24210.0, 5955.0)",9380.0,D:\WorkDrive\Images\FL\009303z_024210x_005955y_093797F.tiff,28084126.0,57127.0,6.583828616285373,1021435712.0,1143.2280920498129,243870221.0,-77.0
83,9303.0,"(25537.0, 4145.0)",9383.0,D:\WorkDrive\Images\FL\009303z_025537x_004145y_093834F.tiff,26765928.0,68108.0,6.234423136939799,1505625544.0,636.8142889624212,2219933394.0,-80.0
84,9303.0,"(26736.0, 4145.0)",9369.0,D:\WorkDrive\Images\FL\009303z_026736x_004145y_093692F.tiff,28191828.0,65506.0,6.53625874518999,1397461148.0,1083.6944949156243,726063828.0,-66.0
85,9303.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009303z_027353x_004145y_093672F.tiff,16423990.0,169647.0,4.87100827378708,-1897180860.0,197.63252941430943,4259064788.0,-64.0
86,9304.0,"(22735.0, 5314.0)",9399.0,D:\WorkDrive\Images\FL\009304z_022735x_005314y_093987F.tiff,19213438.0,146741.0,5.489024519822736,-497520024.0,585.3013878263088,2917618725.0,-95.0
87,9304.0,"(25537.0, 5728.0)",9373.0,D:\WorkDrive\Images\FL\009304z_025537x_005728y_093729F.tiff,22603684.0,176401.0,5.176270263152858,-3399417312.0,680.2715184843918,2505748106.0,-69.0
88,9305.0,"(25537.0, 4145.0)",9383.0,D:\WorkDrive\Images\FL\009305z_025537x_004145y_093834F.tiff,26668360.0,72991.0,6.2326186954773934,1147259440.0,670.4242256314506,2286761287.0,-78.0
89,9305.0,"(26736.0, 4145.0)",9369.0,D:\WorkDrive\Images\FL\009305z_026736x_004145y_093692F.tiff,28287990.0,68685.0,6.5276851605855475,-637600784.0,1124.297499872844,752000908.0,-64.0
90,9305.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009305z_027353x_004145y_093672F.tiff,16550282.0,174085.0,4.853902899972298,-962323324.0,209.5001493162728,414940.0,-62.0
91,9306.0,"(25537.0, 5728.0)",9373.0,D:\WorkDrive\Images\FL\009306z_025537x_005728y_093729F.tiff,22540996.0,180448.0,5.135434512436057,-2880792520.0,704.6347079667776,2498118217.0,-67.0
92,9306.0,"(25537.0, 6035.0)",9371.0,D:\WorkDrive\Images\FL\009306z_025537x_006035y_093706F.tiff,20219254.0,169028.0,5.347097291593969,2206912324.0,1096.6699608436563,2716500700.0,-65.0
93,9307.0,"(24210.0, 5955.0)",9380.0,D:\WorkDrive\Images\FL\009307z_024210x_005955y_093797F.tiff,28507840.0,62596.0,6.576284624018345,-2475946184.0,1231.7582834340667,74847736.0,-73.0
94,9307.0,"(25537.0, 4145.0)",9383.0,D:\WorkDrive\Images\FL\009307z_025537x_004145y_093834F.tiff,26781090.0,77424.0,6.2284329745797615,813531732.0,701.3079992420669,2339459787.0,-76.0
95,9307.0,"(26736.0, 4145.0)",9369.0,D:\WorkDrive\Images\FL\009307z_026736x_004145y_093692F.tiff,28502672.0,74756.0,6.514465536790337,-1678305940.0,1218.1234805373101,834838417.0,-62.0
96,9307.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009307z_027353x_004145y_093672F.tiff,16463708.0,177949.0,4.827189527388477,-1016395592.0,217.90504213457174,428188.0,-60.0
97,9308.0,"(22735.0, 5314.0)",9399.0,D:\WorkDrive\Images\FL\009308z_022735x_005314y_093987F.tiff,19157342.0,149078.0,5.474388610293645,20935096.0,609.8505116097961,2959990484.0,-91.0
98,9308.0,"(25537.0, 5728.0)",9373.0,D:\WorkDrive\Images\FL\009308z_025537x_005728y_093729F.tiff,22998278.0,182976.0,5.110191852404528,-696479096.0,742.5942137879049,2535700435.0,-65.0
99,9308.0,"(25537.0, 6035.0)",9371.0,D:\WorkDrive\Images\FL\009308z_025537x_006035y_093706F.tiff,20225830.0,172304.0,5.315665336883976,1524213892.0,1137.2755338951274,2726054863.0,-63.0
100,9309.0,"(24210.0, 5955.0)",9380.0,D:\WorkDrive\Images\FL\009309z_024210x_005955y_093797F.tiff,28781740.0,66075.0,6.574340400621925,1862863520.0,1290.3080564655074,41844845.0,-71.0
101,9309.0,"(25537.0, 4145.0)",9383.0,D:\WorkDrive\Images\FL\009309z_025537x_004145y_093834F.tiff,26758616.0,81093.0,6.219734038005682,376332000.0,730.5907602110145,2359261030.0,-74.0
102,9309.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009309z_027353x_004145y_093672F.tiff,16435850.0,181265.0,4.802970705229884,-792843700.0,227.3724283866748,33464578.0,-58.0
103,9310.0,"(22735.0, 5314.0)",9399.0,D:\WorkDrive\Images\FL\009310z_022735x_005314y_093987F.tiff,19099342.0,155739.0,5.426798465873012,1478416064.0,648.1005511595048,2980206648.0,-89.0
104,9310.0,"(25537.0, 5728.0)",9373.0,D:\WorkDrive\Images\FL\009310z_025537x_005728y_093729F.tiff,23098118.0,186248.0,5.0667549450104765,-1882276684.0,763.137244757744,2418265374.0,-63.0
105,9310.0,"(25537.0, 6035.0)",9371.0,D:\WorkDrive\Images\FL\009310z_025537x_006035y_093706F.tiff,20434604.0,175750.0,5.287306671872154,735354588.0,1174.00207561954,2706480707.0,-61.0
106,9311.0,"(24210.0, 5955.0)",9380.0,D:\WorkDrive\Images\FL\009311z_024210x_005955y_093797F.tiff,28824802.0,70200.0,6.561607114949166,1067420152.0,1342.1897571609754,2430578.0,-69.0
107,9311.0,"(25537.0, 4145.0)",9383.0,D:\WorkDrive\Images\FL\009311z_025537x_004145y_093834F.tiff,26599422.0,84924.0,6.205075016007675,-562062180.0,756.0006399069972,2362536171.0,-72.0
108,9311.0,"(26736.0, 4145.0)",9369.0,D:\WorkDrive\Images\FL\009311z_026736x_004145y_093692F.tiff,28639806.0,78184.0,6.502235039984499,-1387211480.0,1262.5275689205657,807975538.0,-58.0
109,9311.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009311z_027353x_004145y_093672F.tiff,16558976.0,184408.0,4.7792207403390154,3363883096.0,237.56113545240484,25802191.0,-56.0
110,9312.0,"(25537.0, 5728.0)",9373.0,D:\WorkDrive\Images\FL\009312z_025537x_005728y_093729F.tiff,23207788.0,189543.0,5.031471243648239,-919378000.0,801.8178100504962,2342367821.0,-61.0
111,9312.0,"(25537.0, 6035.0)",9371.0,D:\WorkDrive\Images\FL\009312z_025537x_006035y_093706F.tiff,20146854.0,180319.0,5.246702579496329,558481768.0,1215.191611546668,2712452461.0,-59.0
112,9313.0,"(24210.0, 5955.0)",9380.0,D:\WorkDrive\Images\FL\009313z_024210x_005955y_093797F.tiff,29068034.0,73754.0,6.5464537131954605,599279160.0,1394.6445531063905,4204854625.0,-67.0
